strategy,budget,coverage,width,width_std
adaptive,50,0.9369523809523809,9.222268840022263,0.8559050513731566
adaptive,80,0.9234285714285715,8.753894508412035,0.5159747094292392
adaptive,110,0.9116190476190476,8.503706248466937,0.5177935955298141
adaptive,140,0.9146666666666666,8.549146730279373,0.47126406647599695
adaptive,170,0.909142857142857,8.40820994657562,0.5032851741657719
adaptive,200,0.9038095238095238,8.300904303149657,0.2663308456992923
adaptive,230,0.9038095238095238,8.321829715974685,0.43655471434077087
adaptive,260,0.8961904761904762,8.170241589392877,0.347614546721873
random,50,0.933142857142857,9.266266764036946,1.2197198518243009
random,80,0.9243809523809524,8.902742026744583,0.8113162154029331
random,110,0.9241904761904761,8.863770159010496,0.6197952279425754
random,140,0.9213333333333333,8.783249113495057,0.6415971302082706
random,170,0.9198095238095239,8.762207413503697,0.6422380434048368
random,200,0.9137142857142857,8.574313650778581,0.465379101280662
random,230,0.9121904761904762,8.528882968300106,0.38198062399583665
random,260,0.9116190476190477,8.519134217028634,0.33923959063394016
